,season,teamName,week,team,opponent,result,owner,opponent_owner
729,2020,Bing Bong,10,6,The Yoshinoya Beef Bowls,146.03 - 129.93 Win,zeyad,Kevin
730,2020,Bing Bong,11,6,Chub Chub,152.03 - 122.90 Win,zeyad,John
731,2020,Bing Bong,12,6,Creamworks VII,135.53 - 223.70 Loss,zeyad,Owen
732,2020,Bing Bong,13,6,Footle My Tootle,159.13 - 83.83 Win,zeyad,Jake
733,2020,Bing Bong,14,6,Munter Hunters,192.07 - 153.90 Win,zeyad,nickolai
734,2020,Bing Bong,15,6,Hackysack Millionaires,194.47 - 136.97 Win,zeyad,Peter
735,2020,Bing Bong,16,6,Creamworks VII,164.94 - 148.13 Win,zeyad,Owen
736,2020,Washington Foreskins,1,7,Chub Chub,172.17 - 146.73 Win,Ryan,John
737,2020,Washington Foreskins,2,7,Bing Bong,201.60 - 160.00 Win,Ryan,zeyad
738,2020,Washington Foreskins,3,7,Footle My Tootle,225.40 - 132.17 Win,Ryan,Jake
739,2020,Washington Foreskins,4,7,Munter Hunters,152.40 - 156.10 Loss,Ryan,nickolai
740,2020,Washington Foreskins,5,7,Hackysack Millionaires,173.67 - 161.33 Win,Ryan,Peter
741,2020,Washington Foreskins,6,7,Creamworks VII,126.37 - 149.27 Loss,Ryan,Owen
742,2020,Washington Foreskins,7,7,The Yoshinoya Beef Bowls,208.27 - 81.20 Win,Ryan,Kevin
743,2020,Washington Foreskins,8,7,Chub Chub,134.00 - 75.30 Win,Ryan,John
744,2020,Washington Foreskins,9,7,Bing Bong,201.43 - 150.17 Win,Ryan,zeyad
745,2020,Washington Foreskins,10,7,Footle My Tootle,123.23 - 132.97 Loss,Ryan,Jake
746,2020,Washington Foreskins,11,7,Munter Hunters,157.13 - 156.53 Win,Ryan,nickolai
747,2020,Washington Foreskins,12,7,Hackysack Millionaires,154.63 - 182.80 Loss,Ryan,Peter
748,2020,Washington Foreskins,13,7,Creamworks VII,143.73 - 163.20 Loss,Ryan,Owen
